no;source;target;module;weight
1;checkAuth;decodeBase64;authChecker;3599
2;checkAuth;doEncryptId;authChecker;3599
3;checkAuth;decodeXSignFor;authChecker;3599
4;checkAuth;generateSignatureKey;authChecker;3599
5;checkAuth;encodeBase64;authChecker;3599
6;checkAuth;statusResponse;authChecker;3599
7;checkAuth;doIntrospection;authChecker;3599
8;checkAuth;getBasicAuthSSO;authChecker;3599
9;checkAuth;getAllUserDataByUsername;authChecker;3599
10;checkAuth;getAllUserDataByIdUser;authChecker;3599
11;checkAuth;getUserPrimaryData;authChecker;3599
12;checkAuth;getUserDataMin;authChecker;3599
13;checkAuth;getUserGroupNow;authChecker;3599
14;checkAuth;model;authChecker;3599
15;checkAuth;checkAccessTokenKongProdG2;authChecker;3599
16;checkAuth;jwt;authChecker;3599
17;checkAuth;moment;authChecker;3599
18;checkAuth;fs;authChecker;3599
19;checkAuth;crypto;authChecker;3599
20;checkAuth;jwktopem;authChecker;3599
21;checkAuth;generateBasicAuthToken;authChecker;3599
22;checkAuth;cookieApiParser;authChecker;3599
23;checkAuth;authChecker;authChecker;3599
24;doIntrospection;encodeXSignFor;auth;3599
25;doIntrospection;doDecryptId;auth;3599
26;doIntrospection;auth;auth;3599
27;doIntrospection;issUri;auth;3599
28;getBasicAuthSSO;encodeXSignFor;auth;3599
29;getBasicAuthSSO;doDecryptId;auth;3599
30;getBasicAuthSSO;auth;auth;3599
31;getBasicAuthSSO;issUri;auth;3599
32;connection;db_prod_g2;connection;3599
33;connection;db_kongprod_g2;connection;3599
34;connection;db_kongplatform_g2;connection;3599
35;db_kongplatform_g2;pool;dbKongPlatformG2;3599
36;db_kongplatform_g2;dbConfig;dbKongPlatformG2;3599
37;db_kongplatform_g2;connectionString;dbKongPlatformG2;3599
38;db_kongplatform_g2;dbKongPlatformG2;dbKongPlatformG2;3599
39;db_kongprod_g2;pool;dbKongProdG2;3599
40;db_kongprod_g2;dbConfig;dbKongProdG2;3599
41;db_kongprod_g2;connectionString;dbKongProdG2;3599
42;db_kongprod_g2;dbKongProdG2;dbKongProdG2;3599
43;db_prod_g2;pool;dbProdG2;3599
44;db_prod_g2;dbConfig;dbProdG2;3599
45;db_prod_g2;connectionString;dbProdG2;3599
46;db_prod_g2;dbProdG2;dbProdG2;3599
47;db_sso;Sequelize;dbConfigs;3599
48;db_sso;dbConnection;dbConfigs;3599
49;db_sso;dbEnvs;dbConfigs;3599
50;useEffectOnce;useEffect;useEffect;3599
51;useEffectOnce;useRef;useEffect;3599
52;useEffectOnce;useState;useEffect;3599
53;useWindowSize;useState;windowSize;3599
54;useWindowSize;useEffect;windowSize;3599
55;AccessTokens;sequelize;accesstoken;3599
56;AccessTokens;db_sso;accesstoken;3599
57;AuthorizationCodes;sequelize;Authorizationcode;3599
58;AuthorizationCodes;db_sso;Authorizationcode;3599
59;BackchannelAuthenticationRequests;sequelize;Authorizationcode;3599
60;BackchannelAuthenticationRequests;db_sso;Authorizationcode;3599
61;BackchannelAuthenticationRequests;AuthorizationCodes;Authorizationcode;3599
62;ClientCredentials;sequelize;clientcredential;3599
63;ClientCredentials;db_sso;clientcredential;3599
64;ClientKeyStores;sequelize;clientcredential;3599
65;ClientKeyStores;db_sso;clientcredential;3599
66;Clients;sequelize;clientcredential;3599
67;Clients;db_sso;clientcredential;3599
68;Consents;sequelize;Consents;3599
69;Consents;db_sso;Consents;3599
70;DeviceCodes;sequelize;Consents;3599
71;DeviceCodes;db_sso;Consents;3599
72;DeviceCredentials;sequelize;clientcredential;3599
73;DeviceCredentials;db_sso;clientcredential;3599
74;Grants;sequelize;grant;3599
75;Grants;db_sso;grant;3599
76;InitialAccessTokens;sequelize;InitialAccessTokens;3599
77;InitialAccessTokens;db_sso;InitialAccessTokens;3599
78;Interactions;sequelize;Interactions;3599
79;Interactions;db_sso;Interactions;3599
