"source","module"
checkAuth,authChecker
doIntrospection,auth
getBasicAuthSSO,auth
connection,connection
db_kongplatform_g2,dbKongPlatformG2
db_kongprod_g2,dbKongProdG2
db_prod_g2,dbProdG2
db_sso,dbConfigs
useEffectOnce,useEffect
useWindowSize,windowSize
AccessTokens,accesstoken
AuthorizationCodes,Authorizationcode
BackchannelAuthenticationRequests,Authorizationcode
ClientCredentials,clientcredential
ClientKeyStores,clientcredential
Clients,clientcredential
Consents,Consents
DeviceCodes,Consents
DeviceCredentials,clientcredential
Grants,grant
InitialAccessTokens,InitialAccessTokens
Interactions,Interactions
PushedAuthorizationRequests,Interactions
RefreshTokens,refreshtoken
RegistrationAccessTokens,refreshtoken
ReplayDetections,twostepauthorization
ReqSso,twostepauthorization
Scopes,twostepauthorization
Sessions,sessions
TwoStepAuthSessions,twostepauthorization
insertIntegrationAccess,integrationAccess
updateIntegrationAccess,integrationAccess
removeIntegrationAccess,integrationAccess
getIntegrationAccessByUserId,integrationAccess
getIntegrationAccessAll,integrationAccess
getKdLoginTypeRef,integrationAccess
getIntegrationAccessByUsername,integrationAccess
getKdLoginTypeRefFilter,integrationAccess
getAllIntegration,integrationAccess
getRPHPRegisterStatus,integrationAccess
updateRPHPRegisterStatus,integrationAccess
organizations_ga,organizationGa
user_registration,userRegistration
insertListUserRegist,userRegistration
getUserRegist,userRegistration
setApporvalStatus,userRegistration
getUserRegisterBySvcNumber,userRegistration
updateStatusUserRegister,userRegistration
getUserRegistPayload,userRegistration
checkTokenKongPlatform,dbKongPlatform
getConsumerCredentialsId,dbKongPlatform
getTokenKongPlatform,dbKongPlatform
insertTokenKongPlatform,dbKongPlatform
updateTokenKongPlatform,dbKongPlatform
deleteTokenKongPlatform,dbKongPlatform
checkTokenKongProdG2,dbKongProdG2
checkAccessTokenKongProdG2,dbKongProdG2
getTokenKongProdG2,dbKongProdG2
insertTokenKongProdG2,dbKongProdG2
updateTokenKongProdG2,dbKongProdG2
deleteTokenKongProdG2,dbKongProdG2
getRecentNibHeader,tregNibHeader
getRecentNibHeaderBy9DigitNpwp,tregNibHeader
checkExistingAuth,authz
getRefScope,authz
getGenerateNumber,generateNumber
updateGenerateNumber,generateNumber
getNotifPreferences,notifPrefences
setNotifPreferences,notifPrefences
updateNotifPreferences,notifPrefences
deleteNotifPreferences,notifPrefences
updateKswpStatus,organization
checkNpwpActive,organization
checkNibActive,organization
insertNewOrganization,organization
getOrganizationGa,organization
updateActivateOrg,organization
checkOrgStatus,organization
getRefUser,refs
getRefGaOrg,refs
getKdLoginTypeRefFilter,refs
getPengumuman,refs
checkExistingSessionDBProd,loginActivity
findExistingSessionDBProd,loginActivity
createSessionDBProd,loginActivity
replaceTokenIdDBProd,loginActivity
logoffAllMobileSessionDBProd,loginActivity
logoffOneMobileSessionDBProd,loginActivity
logoffSessionDBProd,loginActivity
removeAllUserSession,loginActivity
logonSessionDBProd,loginActivity
updateSessionDBProd,loginActivity
getActiveMobileSession,loginActivity
getNotifByUUID,notifActivity
updateReadNotif,notifActivity
createTemporarySession,temporarySession
updateStateTemporarySession,temporarySession
checkReverifySession,temporarySession
checkToken,temporarySession
getUserGroupNow,users
getUserMfaSettings,users
getUserSSOValidated,users
checkUserPass,users
checkIsThereAnyUsername,users
checkUserName,users
checkUserStatus,users
checkNpwpActive,users
getUserSSO,users
sso_findaccount_profile,users
sso_findaccount_organization,users
getUserSSOMin,users
getUserData,users
checkPasswordMatch,users
getUserDataMin,users
updateMobilePhoneNumber,users
updatePasswordByUserId,users
updatePasswordByUsername,users
updateUserRole,users
getPhotoProfile,users
getUserRoles,users
checkPasswordIsExp,users
getUserIdByUsername,users
checkNikActive,users
getAllUserDataByUsername,users
getAllUserDataByIdUser,users
getUserPrimaryData,users
getOneUserByIdUser,users
getRolesUser,users
insertNewAdmin,users
insertNewUserGa,users
insertPhotoLinked,users
updatePasswordAndActivateUser,users
checkUserIsRegistered,users
isRejectedGaUser,users
deleteRejectedUser,users
checkIsLoginAs,users
activateUserMpp,users
setUserInactivation,users
setUserActivation,users
insertUserGen1IntoGen2,users
updateUserGen1IntoGen2,users
getUserGen1ByUsername,usersGen1
getUserGen1ByUserpass,usersGen1
getUserGen1ByOrg,usersGen1
base64url-arraybuffer,base64url
API_PUBLIC_GLOBAL,api
API_PUBLIC_REF,api
API_PUBLIC_INTEGRATION,api
API_SERVER_GLOBAL,api
API_SERVER_REF,api
API_SERVER_INTEGRATION,api
API_SERVER_OSS,api
API_SERVER_USERS,api
global,global
integration,integration
oss,oss
reference,reference
user,user
emailForgotPassword,emailTemplate
resetPasswordDueToRemoveMFA,emailTemplate
registrationServiceNumber,emailTemplate
approvalUserRegistration,emailTemplate
init,translate
validationForm,FormValidation
validationReference,validation
defaultValidation,validationSchema
passwordValidation,validationSchema
defaultValidationFillable,validationSchema
phoneNumberValidation,validationSchema
nikValidation,validationSchema
kodeposValidation,validationSchema
pasporValidation,validationSchema
emailValidation,validationSchema
npwpValidation,validationSchema
nibValidation,validationSchema
validationYupSchema,validationYupSchema
fetcher,variables
getEpochTimestamp,variables
getEpochTimestampAddedBySeconds,variables
epochToStingTimestamp,variables
getDateFromTime,variables
timestampToEpoch,variables
decodeKeySet,basicAuthToken
createSignatureKey,basicAuthToken
fetchKeySet,basicAuthToken
fetchBasicToken,basicAuthToken
verifyBasicAuthToken,basicAuthToken
generateBasicAuthToken,basicAuthToken
generatePKCE,basicAuthToken
cookieApiParser,cookie
load,cookie
encodeJWTToken,encryption
verifyJWTToken,encryption
doEncryptId,encryption
doEncryptWithHash,encryption
doDecryptWithHash,encryption
doDecryptId,encryption
encodeXSignFor,encryption
decodeXSignFor,encryption
compareHashMd5,encryption
encodeMD5,encryption
encodeBase64,encryption
decodeBase64,encryption
webauthnCredentialsParser,encryption
webauthnCredentialsStringify,encryption
generateSignatureKey,encryption
encryption,encryption
capitalizeFirstLetter,formatter
randomAplhaNumeric,generate
generateServiceNumber,generate
generateCodeChallengePKCE,generate
generateRandomHexCode,generate
generateUsername,generate
mailer,mailing
verify1,appMailer
googleMailer,appMailer
sendNotification,notifAPI
getNotifPreferences,notifAPI
statusCode,statusResponse
statusResponse,statusResponse
errorAuth,statusResponse
errorAuthsRef,statusResponse
customResponse,statusResponse
forgetPasswordEmail,templateEmail
resetPassDueToRemoveMFA,templateEmail
createdUserEmail,templateEmail
requestUserEmail,templateEmail
notifyForApprovalUser,templateEmail
verificationMpp,templateEmail
RejectionRegistrationEmail,templateEmail
isEmpty,validator
isEmptyArray,validator
checkFileSize,validator
checkFileType,validator
ValidateEmail,validator
isJsonWebToken,validator
isNumber,validator
base64url,auth
b2bAccessTokenSNAPBI,InitialAccessTokens
CheckToken,InitialAccessTokens
Token,InitialAccessTokens
indexAPI,InitialAccessTokens
CibaCreds,InitialAccessTokens
Client,InitialAccessTokens
endSession,InitialAccessTokens
endMobileSession,InitialAccessTokens
mobileAuth,InitialAccessTokens
qr,InitialAccessTokens
clientCredentialCreator,clientcredential
JWT,clientcredential
authenticatorSetup,Authorizationcode
mfaSettings,Authorizationcode
VerifyAccount,InitialAccessTokens
RegisterMpp,InitialAccessTokens
notification,notifActivity
Webauthn,auth
WebauthnVerify,auth
responseAuth,auth
getRefIntegration,integrationAccess
refLoginAs,integrationAccess
getRefOrganizationGa,integrationAccess
refPengumuman,integrationAccess
refRegister,integrationAccess
refScopes,integrationAccess
registerUser,registrasi
tracking,tracking
ChangePassword,users
ForgotPassword,users
mobileNumber,users
ProfilePhoto,users
ResetMFA,users
RoleUser,users
StatusUser,users
VerifyAccountActivation,users
AppNotification,notifActivity
Developers,changePassword
ChangeRole,ChangeRole
Consent,Consent
DeviceAuth,clientcredential
Error,notifActivity
ForgotPassword,ForgotPassword
Login,Login
Logout,Logout
RegisterMpp1,InitialAccessTokens
Verify,auth
AppMPP,auth
NotFound,notifActivity
Profile,users
AuthorizeRedirects,Authorizationcode
AuthorizeRedirectsMobile,Authorizationcode
TrackRegistration,registrasi
Register,registrasi
MFAConfig,Authorizationcode
MFA,Authorizationcode
Security,Authorizationcode
ServerManagement,Interactions
Verification,auth
