no;source;target;module;weight;module_id
1;insertIntegrationAccess;queryDbProdG2;integrationAccess;37;44
2;insertIntegrationAccess;moment;integrationAccess;37;44
3;insertIntegrationAccess;table;integrationAccess;37;44
4;insertIntegrationAccess;integrationAccess;integrationAccess;37;44
5;updateIntegrationAccess;queryDbProdG2;integrationAccess;37;44
6;updateIntegrationAccess;moment;integrationAccess;37;44
7;updateIntegrationAccess;table;integrationAccess;37;44
8;updateIntegrationAccess;integrationAccess;integrationAccess;37;44
9;removeIntegrationAccess;queryDbProdG2;integrationAccess;37;44
10;removeIntegrationAccess;moment;integrationAccess;37;44
11;removeIntegrationAccess;table;integrationAccess;37;44
12;removeIntegrationAccess;integrationAccess;integrationAccess;37;44
13;getIntegrationAccessByUserId;queryDbProdG2;integrationAccess;37;44
14;getIntegrationAccessByUserId;moment;integrationAccess;37;44
15;getIntegrationAccessByUserId;table;integrationAccess;37;44
16;getIntegrationAccessByUserId;integrationAccess;integrationAccess;37;44
17;getIntegrationAccessAll;queryDbProdG2;integrationAccess;37;44
18;getIntegrationAccessAll;moment;integrationAccess;37;44
19;getIntegrationAccessAll;table;integrationAccess;37;44
20;getIntegrationAccessAll;integrationAccess;integrationAccess;37;44
21;getKdLoginTypeRef;queryDbProdG2;integrationAccess;37;44
22;getKdLoginTypeRef;moment;integrationAccess;37;44
23;getKdLoginTypeRef;table;integrationAccess;37;44
24;getKdLoginTypeRef;integrationAccess;integrationAccess;37;44
25;getIntegrationAccessByUsername;queryDbProdG2;integrationAccess;37;44
26;getIntegrationAccessByUsername;moment;integrationAccess;37;44
27;getIntegrationAccessByUsername;table;integrationAccess;37;44
28;getIntegrationAccessByUsername;integrationAccess;integrationAccess;37;44
29;getKdLoginTypeRefFilter_integrationAccess;queryDbProdG2;integrationAccess;37;44
30;getKdLoginTypeRefFilter_integrationAccess;moment;integrationAccess;37;44
31;getKdLoginTypeRefFilter_integrationAccess;table;integrationAccess;37;44
32;getKdLoginTypeRefFilter_integrationAccess;integrationAccess;integrationAccess;37;44
33;getAllIntegration;queryDbProdG2;integrationAccess;37;44
34;getAllIntegration;moment;integrationAccess;37;44
35;getAllIntegration;table;integrationAccess;37;44
